Circumstances,Target
flight crew conducting cargo flight instrument meteorological condition takeoff departure airport en route portion flight normal reported weather operational issue flight neared charleston yeager international airport crw altitude ft captain first officer received recent automatic terminal information service atis report airport indicating wind knot mile visibility scattered cloud ft ground level agl broken ceiling ft agl however special weather observation recorded minute flight crew initial contact crw approach controller indicated wind condition changed knot cloud ceiling dropped ft agl crw approach controller provide updated weather information flight crew update atis required federal aviation administration order x paragraph crw approach controller advised flight crew expect localizer approach would provided straightin final approach course aligned runway first officer acknowledged instruction requested vora circling instrument approach presumably approach procedure happened line flight crew inbound flightpath flying localizer approach would result slightly longer flight airport however localizer approach available flight crew decision fly vora circling approach contrary operator standard operating procedure sop minimum descent altitude mda localizer approach ft agl mda vora approach ft agl special weather observation indicating cloud cover ft agl would difficult pilot see airport mda vora approach yet flight crew information approach controller required provide flight crew special weather report indicating ceiling arrival airport dropped mda could prompted pilot use localizer approach however pilot would required minimum visibility vora approach within acceptable limit approach controller approved first officer request cleared flight direct first waypoint vora approach descend ft radar data indicated flight progressed along vora approach course airplane descended foot prescribed minimum stepdown altitude ft two mile prior fogag waypoint airplane remained level ft mile displaced threshold landing runway point airplane entered ftperminute turning descent toward runway steep left bank apparent attempt line runway performance analysis indicates airplane impacted runway descent rate decreased fpm pitch began move noseup direction suggesting captain pulling airplane neared pavement however late save approach postaccident examination airplane identify airplane engine malfunction failure would precluded normal operation video witness information conclusive whether captain descended mda exiting cloud cover however descent mda accordance federal regulation required part pilot leave mda aircraft continuously position descent landing intended runway made normal descent rate using normal maneuver accident airplane descent rate accordance company guidance stated constant rate descent ftmin maintained rather continue vora approach excessive descent rate airplane maneuvering captain conducted missed approach executed localizer approach procedure evidence found indicate captain chose continue approach however captain recent performance history including unsatisfactory checkride due poor instrument flying indicated instrument flight skill marginal possible captain felt confident ability perform unstable approach runway compared conducting circling approach land first officer also could called missed approach based text message sent friend interview statement first officer habit speaking difference experience captain first officer likely created barrier communication due authority gradient atc data three vora approach crw flown captain period month accident airport security footage previous landing flight crew month accident suggest captain early descent specified altitude excessive maneuvering landing isolated accident flight evidence suggests flight crew consistently turned final later lower altitude recommended operator sop flight crew performance accident flight consistent procedural intentional noncompliance whichas longstanding concern ntsbwas highlighted ntsbs wanted list operator stand first line defense procedural intentional noncompliance setting positive safety attitude personnel follow establishing organizational protection however operator formal safety oversight program assess compliance sop monitor pilot captain previous performance issue,8
may eastern daylight time learjet nda departed controlled flight circling approach runway teterboro airport teb teterboro new jersey impacted commercial building parking lot pilotincommand pic secondincommand sic died one ground injured airplane destroyed impact force postcrash fire airplane registered ac big sky aviation llc operated transpacific air charter llc provision title code federal regulation cfr part positioning flight visual meteorological condition prevailed instrument flight rule flight plan filed flight departed philadelphia international airport phl philadelphia pennsylvania destined teb accident occurred flight crew third final scheduled flight day crew previously flown teb laurence g hanscom field bed bedford massachusetts bed phl pic checked weather departing teb however check weather flight phl teb despite company policy requiring weather information obtained within hour departure crew filed flight plan accident flight included altitude ft time en route minute entry incompatible suggests crew devoted little attention preflight planning crew also limited time flight plan brief approach required company policy conduct approach briefing attempting land teb cockpit voice recorder data indicated sic pilot flying pf phl teb despite company policy prohibiting sic acting pf based level experience although accident flight waslikely first time sic acted pf based comment made flight pic regularly coached sic primarily checklist initiation airplane control takeoff final second flight extensive coaching likely distracted pic duty pic pilot monitoring executing checklist entering approach waypoints flight management system collectively procedural deviation error resulted flight crew lack situational awareness throughout flight approach teb neither pilot realized airplane navigation equipment properly set instrument approach clearance flight crew received crew improperly executed vertical profile approach crossing intermediate fix final approach fix hundred foot altitude specified approach procedure controller vectored flight instrument landing system runway approach circle runway crew initiated circletoland maneuver airplane nautical mile nm beyond final approach fix mile runway threshold could maneuvered line landing runway prompted crew execute goaround flight meet company stabilized approach criterion however neither pilot called goaround pic assumed control airplane point flight continued approach initiating turn align landing runway radar data indicated airplane airspeed approach speed required company standard operating procedure sop turn airplane stalled crashed nm south runway threshold,8
commercial pilot three passenger making personal crosscountry flight ocean water mub airplane cruise flight flight level fl airplane maintained relative heading airspeed altitude hour radar contact lost airplane flight significant meteorological information notice issued warned frequent thunderstorm top fl accident area accident time satellite imagery showed cloud top area fl moderate greater icing condition super cooled large drop sld likely near accident area accident time although wreckage located examination loss airplane radar target followed identification debris fuel sheen water last radar target location suggests airplane entered uncontrolled descent encountering adverse weather impacted water beginning training airplane month accident pilot hour multi engine experience accumulated sporadic flight year per special federal aviation regulation pilot must complete specific ground flight training log minimum flight hour pilotincommand pic multi engine airplane acting pic mub airplane pilot began training airplane appeared attempt reach hour threshold quickly flying hour month hour included hour long crosscountry flight flight instructor flying pilot described familiarization flight pilot demonstration flight airplane owner pilot successfully completed training required mub time accident accumulated estimated hour multi engine flight experience hour mub although mub instructor described pilot good attentive student determined training ingrained enough effectively apply operational environment without instructor present although available evidence pilot activity suggested may obtained adequate restorative sleep night accident insufficient evidence determine extent fatigue played role decision making sequence eventsthe pilot last known weather briefing occurred hour airplane departed known pilot obtained updated weather information flight sufficient weather information including hazardous weather advisory provided air traffic control broadcast message minute accident available pilot expect convective activity potential icing along accident flight route however evidence airplane radar track pilot communication air traffic controller recognized attempted avoid convective condition exit icing condition,85
beechcraft lr hayabusa version beechcraft super king air departed sapporookadama airport lt flight hakodate evacuate patient board two doctor two pilot descending hakodate altitude foot crew encountered poor weather condition low cloud rain shower airplane registered jg impacted slope mountain located near assabu km northwest hakodate airport aircraft disintegrated impact four occupant killed,37
takeoff roll runway tolucalicendiado adolfo lpez mateos airplane passed v speed warning light came cockpit panel informing crew deployment reverse left engine according published procedure crew continued takeoff shortly rotation initiale climb aircraft rolled left crashed open field bursting flame wreckage found metre past runway end aircraft destroyed pilot killed,30
pilot sole board returning cecina airfield following skydiving flight area touchdown grassy area single engine aircraft veered left impacted drainage ditch came rest pilot escaped uninjured aircraft damaged beyond repair,54
pilot twinengine turbinepowered airplane reported providing flight skydiver throughout day potential new hire pilot flying right seat added eighth flight day new pilot flying approach approximately foot south threshold runway approximately foot agl ground level bottom violently unexpectedly dropped believed kind wind shear caused aircraft slam onto runway bounce air degree bank angle right prospective pilot said got pilot took control airplane initiated goaround increasing power aggravated runway heading right wing contacted ground airplane exited runway right impacted fuel truck right wing separated airplane impact caused pilot unintentionally add max power airplane left engine functioning ground looped right coming rest nose,86
twin engine airplane departed north bay ambulance flight arnprior carrying two pilot doctor following uneventful flight crew cleared vordme approach runway vfr condition short final aircraft descended low impacted ground metre short runway upon impact nose gear collapsed airplane slid metre coming rest three occupant evacuated safely aircraft damaged beyond repair,55
may naky let uvpe goma air summit air domestic carrier nepal published program operate flight lukla kathmandu first flight departed kathmandu utc time utc completed flight fifth last flight departed kathmandu utc lukla call sign goma air goma air cargo flight carrying kg cargo lukla two cockpit crew one cabin crew passenger board flight premonsoon period lukla weather particular day cloudy since morning ceiling visibility reported ok however cctv footage show rapidly deteriorating weather condition crash automatic vhf recorder lukla tower cvr recording showed tower regularly updating pilot deteriorating weather preand postdeparture procedure flight completed normal manner departure kathmandu pilot found obtained latest weather lukla phaplu rumjatar pic decided remain south track avoid terrain cloud goma mile east kathmandu informed lukla heavy rain airport closed time air traffic congestion tia slowly developing traffic holding air ground well goma continued lukla however crossing mile kathmandu informed rain ceased airport open helicopter n agu departed lukla utc kathmandu reported unstable wind final runway enroute weather reported n agu upon request lukla tower good beyond lukla valley however apprehended fixed wing weather might difficult enter valley lukla tower relayed available information goma air first established contact time utc later goma air n agy two reciprocal traffic also contact n agy relayed actual weather status goma air lukla valley ceiling visibility ok vfr utc minute crash weather started deteriorate fast mountain ridge visible thin layer foggy cloud utc one minute approx right base runway covered cloud left base moving towards final duty at officer lukla tower regularly dating pilot deteriorating weather condition however tower found failed close runway per sop spite rapidly deterioratingweather pilot ventured continue though weather marginal aircraft reported entering valley cvr record showed first officer sighted runway second impact instantly pic acknowledged also runway sight aircraft ft approx cockpit crew sighted runway maintained foot approx second time ie second impact tower gave latest wind westerly knot runway clear pic still doubt asked whether rain upon confirmation rain tower aircraft started descend pic also pf found lost situational awareness deviated right continued descend second impact flight descending ft first officer warned pic low pic respond fo callout continued descend reaching ft fo warned pic panic pic asked panic runway fo directed towards runway already low late initially two short stall warning sound continuous stall warning sounded till impact lasted second last word cvr record w gtfg pull much abrupt change aircraft attitude attempt climb reach threshold height ft kathmandu qnh landing configuration landing gear full flap created excessive drag resulting aircraft stall subsequently left wing first hit small tree branch ft short threshold impacted sloppy terrain ft short runway crash aircraft engine reported running minute postcrash fire aircraft totally damaged impact crew para kumar rai pilot srijan manandhar copilot pragya maharjan cabin crew,84
may cessna conquest ii cessna registered vhxmj xmj operated ae charter trading rossair departed adelaide airport south australia return flight via renmark airport south australia board aircraft inductee pilot undergoing proficiency check flying front left control seat chief pilot conducting proficiency check assessment company training checking role cessna aircraft seated front right control seat civil aviation safety authority flying operation inspector foi observing assessing flight first passenger seat directly behind left hand pilot seat pilot qualified operate aircraft two purpose flight primary purpose foi observe chief pilot conducting operational proficiency check opc purpose issuing check pilot approval company cessna aircraft second purpose inductee pilot worked rossair previously complete opc part return line operation company three pilot reportedly started preflight briefing around central standard time two part briefing fois briefing chief pilot chief pilot briefing inductee pilot foi occupying control seat monitoring assessing performance chief pilot conduct opc two distinct exercise listed flight see section titled check flight sequence flight exercise detailed inductee pilot conduct instrument departure adelaide airport holding pattern single engine rnav approach go around landing renmark airport flight exercise included normal takeoff renmark airport simulated engine failure takeoff two engine instrument approach return adelaide aircraft departed adelaide climbed altitude ft mean sea level cleared air traffic control atc track waypoint renwb commencement renmark runway rnavz gnss approach pilot xmj cleared descend notified atc intended carry airwork renmark area pilot advised would call atc completion airwork latest transmission xmj recorded area frequency aircraft left surveillance coverage descended towards waypoint renwb common traffic advisory frequency used airtoair communication vicinity renmark airport recorded several transmission xmj crew conducted practice holding pattern practice runway rnav gnss approach voice analysis confirmed inductee pilot made radio transmission expected check flight completion approach aircraft circled opposite runway landed runway backtracking lining departure sequence varied planned exercise singleengine goaround conducted prior landing renmark common traffic advisory frequency recorded transmission pilot xmj stating would shortly depart renmark using runway conduct airwork circuit area runway witness airport reported prior takeoff roll aircraft briefly held stationary linedup position engine operating significant power takeoff roll described normal however witness looked away aircraft became airborne aircraft maintained runway heading reaching height ft ground see section titled recorded flight data point aircraft began veering right extended runway centreline figure aircraft continued climb ft ground ft altitude held height second followed descent ft figure information ceased second later second takeoff distress beacon broadcast received joint rescue coordination centre passed atc following air ground search aircraft located ground party km west renmark airport board fatally injured aircraft destroyed,9
crew departed surkhet flight simikot unable land simikot due high wind diverted bajura airfield upon arrival twin engine aircraft crashed came rest upside captain killed crew member seriously injured,30
following unventful flight entebbe twin engine airplane made belly landing mogadishuaden abdulle airport touchdown slid hundre metre coming rest four crew member evacuated safely aircraft damaged beyond repair,56
crew performing local training mission balashov airport region saratov following several touchandgo manoeuvre crew initiated new approach final airplane descended mda speed kmh rolled right angle stalled crashed field located metre airfield bursting flame five occupant injures pilot supervision killed airplane dual registration rf red crew cpt tereshin maj rodionov en frolov p halaimov makhmoudov artemiev,19
twin engine airplane departed el palomar airport lt training flight carrying one passenger two pilot descending buenos airesezeizaministro pistarini airport right engine failed crew unable restart engine maintain safe altitude attempted emergency landing aircraft crashed open field located km airport bursting flame three occupant injured aircraft partially destroyed fire,26
may boeing aircraft registration pkcjc operated pt sriwijaya air scheduled passenger flight hasanuddin airport wahh makassar south sulawesi rendani airport wauu manokwari west papua one transit stop domine eduard osok airport wass sorong west papua flight uneventful since first departure makassar commencing approach manokwari lt utc aircraft departed sorong manokwari board flight two pilot four flight attendant passenger flight second command sic acted pilot flying pf pilot command pic acted pilot monitoring pm utc pilot made first contact rendani tower controller informed aircraft descending fl altitude foot requested weather information rendani tower controller informed pilot wind calm ground visibility km cloud cb foot temperature dew point c utc rendani tower controller instructed pilot descend foot report visual meteorological condition vmc utc pilot informed vmc condition passed altitude foot position nm zq ndb nondirectional beacon rendani tower controller instructed fly maintain visual condition fly via overhead descend circuit altitude join right downwind runway report overhead manokwari utc pilot reported aircraft manokwari rendani tower controller informed pilot visibility changed km two minute later rendani tower controller instructed pilot continue approach report right base runway utc approximately foot pic pm took control called control sic replied control second later pilot reported aircraft final runway rendani tower controller instructed pilot report runway insight pilot immediately replied runway sight acknowledged rendani tower controller issued landing clearance additional information wind calm runway condition wet approximately foot pic instructed sic turn wiper reconfirmed sic runway sight altitude foot foot egpws aural warning sink rate pull sounded utc aircraft touched rolled runway spoiler deployed pilot activated thrust reversers crew feel significant deceleration aircraft stopped approximate meter end runway pavement aircraft stopped pic commanded evacuate passenger address pa system rendani tower controller saw aircraft overrun activated crash bell informed airport rescue fire fighting arff aircraft overrun landing runway flight crew passenger evacuated aircraft transported terminal building safely,84
twin engine aircraft departed saltillo airport night cargo flight puebla carrying two pilot load kilo various good en route crew declared emergency reported low fuel condition cleared divert tampicogeneral francisco javier mina airport final approach engine stopped aircraft descended tree crashed wooded area located metre short runway pilot slightly injured aircraft damaged beyond repair,63
rd june hour fokker mk registration yfmm operated safari express cargo ltd courtesy wfp ferrying relief supply mogadishu garbaharrey airport involved accident landing destination airport touch right hand main landing gear collapsed resulting collision obstacle approximately meter high short final approach aircraft subsequently runway excursion starboard side segment right hand wing contacted ground severed rest wing ensuing fuel spillage fire four propeller blade starboard engine contacted ground surface suffered rearward bend fire however contained spreading four crew member able evacuate safely aircraft damaged beyond repair,80
aircraft departed mergui myeik airport lt bound yangon carrying soldier family member cruising altitude foot good weather condition radar contact lost airplane crashed unknown circumstance andaman sea lt sar operation initiated first debris found end afternoon km city dawei according myanmar army chief staff believed none occupant survived crash brand new aircraft delivered myanmar air force march shaanxi chinese version antonov built post tail aircraft found week later cfr dfdr recovered transmitted army investigation,51
following unventful charter flight la pedrera crew initiated approach tarapac airfield touchdown runway aircraft went control veered runway right contacting soft ground airplane rolled dozen metre became stuck mud occupant evacuated safely aircraft damaged beyond repair,55
commercial pilot filed instrument flight rule flight plan departing dark night visual meteorological condition crosscountry personal flight witness departure airport stated takeoff airplane sounded looked normal witness said airplane lifted halfway runway plenty runway remaining airplane land witness lost sight airplane see accident airport hangar blocked view wreckage located ft southeast departure end runway examination accident site indicated airplane impacted nosedown attitude left bank left turn departure consistent airport published instrument departure procedure obstacle avoidance required immediate climbing left turn proceeding navigational beacon located mile eastnortheast airport examination wreckage reveal evidence preimpact mechanical malfunction would precluded normal operation pilot reportedly awake hour conducting departure time normally went sleep therefore may fatigued time event however given available evidence impossible determine role fatigue event although circumstance accident consistent spatial disorientation insufficient evidence determine whether may played role sequence event,85
following uneventful cloud seeding mission region mopti pilot returning bamakosenou airport unknown reason aircraft made belly landing slid dozen metre coming rest right side runway pilot escaped uninjured aircraft damaged beyond repair,45
june pacific aerospace ltd fu stallion registered vheuo euo conducting aerial agricultural operation private airstrip redhill km northnortheast bathurst new south wale nsw operation planned day involved aerial application fertiliser three property upper turon area nsw eastern standard time morning accident pilot loader drove bathurst airport fill fuel tanker continued worksite redhill airstrip upper turon area arriving work first property started first flight day commencing work first property continued two refuelling stop approximately tonne fertiliser applied first job preparation second job fertiliser seed loaded aircraft map second job area passed pilot aircraft took first flight second job aircraft returned reload aircraft took second flight short time later recorded flight data aircraft ceased aircraft return expected loader radioed pilot loader could raise pilot radio became concerned drove vehicle airstrip see aircraft experienced problem initial climb finding sign aircraft returned load site continuing call pilot radio drove application area search aircraft returning load site sign aircraft loader called emergency service raise alarm police arrived site ground search commenced police helicopter also joined search eventually called due low light next morning search recommenced included nsw police state emergency service personnel local volunteer wreckage aircraft found dense bush side hill east application area pilot found deceased aircraft aircraft found approximately hour last recorded flight data witness accident,83
pilot reported approach appeared normal landing foot long gravel strip airplane firmly struck runway bounced added bounce high remaining runway short correct landing power pilot chose go around applying full power flap balked landing procedure climb airplane drifted left toward fttall tree ft departure end runway unable climb tree airplane struck tree canopy nose dropped pilot instinctively reduced power airplane descended tree impacted terrain wing fuselage substantially damaged pilot reported preimpact mechanical failure malfunction airplane would precluded normal operation,86
crew engaged spraying mission rice paddy field region kiliya odessa completing th sortie day flying height metre speed kmh engine failed crew attempted emergency landing aircraft hit obstacle tree crashed captain escaped unhurt copilot slightly injured aircraft damaged beyond repair,59
commercial pilot multiengine airplane conducting instrument flight rule crosscountry flight night pilot checked air traffic control cruise altitude ft mean sea level msl minute later pilot reported saw lightning airplane left wing controller advised pilot weather appeared mile away airplane well clear pilot responded controller onboard weather radar agreed would fly clear weather communication pilot minute later radar information showed airplane ft msl minute later radar showed airplane descending right turn ft radar contact lost shortly thereafter distribution wreckage scattered area mile radius consistent inflight breakup left horizontal stabilizer significant portion left right elevator respective trim tab found available component examination preimpact airframe structural anomaly found examination engine turbochargers reveal preimpact anomaly examination propeller showed evidence rotation impact preimpact anomaly review weather information indicated convection thunderstorm coincident near airplane route flight nearest convective activity located mile west accident site autopsy toxicology testing revealed evidence pilot impairment incapacitation given lack radar information airplane passed ft likely entered rapid descent exceeded design stress limitation resulted inflight breakup however based available information event precipitated descent loss control could determined,85
according pilot flying second airplane flight two mile behind lead airplane lead airplane pilot reported via airplane radio encountered decreasing visibility making left turn exit area pilot recalled losing sight lead airplane made shallow climbing right turn noticed terrain rising recalled entered cloud second moment ran tree never saw coming airplane sustained substantial damage wing pilot reported preaccident mechanical malfunction failure airplane would precluded normal operation pilot reported temperature f mile visibility eeft ceiling nearest metar mile away reported temperature f dew point f visibility statute mile light rain ceiling broken foot overcast foot,85
approaching island margarita en route maiquetasimon bolivar airport porlamar crew encountered control difficulty informed atc hydraulic problem crew initiated rapid descent foot apparently ditch aircraft went control crashed sea km west punta arena aircraft disintegrated impact debris found floating water nine occupant killed among officer flying behalf vicepresidency venezuelan government,17
single engine aircraft departed wamena airport lt three passenger two pilot kg various good minute later airplane struck slope mountain altitude metre scheduled arrive derakma lt wreckage found day later crew helicopter five occupant killed time accident vmc condition prevailed,36
aircraft departed mcas cherry pointcunningham field early afternoon personnel transfer mission el centro na california en route cruising altitude foot n blade engine n detached struck left side fuselage penetrated cabin right side fuselage eventually impacted right stabilizer detached aircraft suffered catastrophic structural failure causing cockpit separate detach airplane entered uncontrolled descent crashed soybean field located km southwest itta bena airplane destroyed impact force post crash fire occupant killed crew maj caine goyette pilot cpt sean e elliott copilot ssgt joshua snowden flight engineer sgt owen j lennon flight engineer gsgt mark hopkins gunnery gsgt brendan c johnson gunnery sgt julian kevianne crewmaster lcpl daniel baldassare crewmaster passenger cpl collin j schaaff ssgt william j kundrat ssgt robert h cox ssgt talon r leach sgt chad e jenson sgt joseph j murray sgt dietrich schmiernan po ryan lohrey,1
airline transport rated pilot passenger departed crosscountry business flight twinengine turbopropellerequipped airplane day visual meteorological condition shortly takeoff airplane banked left descended impacted terrain mile end runway postcrash fire fuel present site postaccident airframe examination reveal anomaly would precluded normal operation examination left engine found signature consistent engine producing power impact examination right engine revealed rotational scoring compressor turbine discblades rotational scoring upstream side power vane baffle indicated compressor section rotating impact however lack rotational scoring power turbine disc assembly indicated engine producing power impact testing right engine fuel control unit fuel pump propeller governor overspeed governor reveal abnormities would accounted loss power reason loss right engine power could determined based available information,79
aircraft performing cargo flight timika carrying five crew member load various good including constructioin material upon landing runway airplane bounced twice went control veered runway left contacting soft ground main landing gear torn aircraft slid dozen metre coming rest five crew member evacuated safely aircraft damaged beyond repair,55
shortly takeoff san fernando airport buenos aire initial climb pilot contacted atc apparent transponder issue crew respond second later twin engine airplane entered uncontrolled descent crashed marshy area located delta paran de la palmas wreckage found august km north san fernando airport aircraft disintegrated impact three occupant killed crew matas ronzano passenger emanuel vega matas aristi,23
twin engine airplane departed ekereku cargo flight eteringbang carrying fuel drum local miner final approach eteringbang airfield runway aircraft low pilot initiated right turn control lost aircraft crashed dense wooded area metre runway aircraft destroyed pilot sole board killed pilot collin martin chief pilot roraima airway since,28
th july hr antonov aircraft model antk flight cvk registration urckc owned swift solution fzc operated cavok airline llc departing sao tome international airport kotoka international airport accra positioning six crew board flight instrument flight rule ifr flight plan visual meteorological condition prevailed aircraft exited runway rejected take flight navigator sustained injury aircraft destroyed th july hr aircraft arrived sao tome international airport stavanger norway via luxemburg ghardaia algeria cargo flight th july hr crew cvk comprising captain first officer flight engineer flight navigator maintenance engineer arrived airport commenced flight preparation preflight inspection determination weight balance computation performance takeoff speed crew received flight briefingweather information refuelled aircraft uplift kg hr crew requested engine startup clearance sao tome tower approved completing engine start procedure engine parameter indication engine normal appropriate checklist completed taxi clearance requested crew sao tome tower initially cleared cvk taxi runway rwy favoured prevailing wind however crew requested rwy departure request approved tower aircraft recleared taxi rwy departure sao tome tower provide flight crew information possible presence bird aerodrome particular runway hr aircraft began takeoff roll first officer pilot flying pf captain pilot monitoring pm engine system parameter reported normal according captain first half takeoff run runway five six eagle got ground runway flew dangerously close aircraft requested flight engineer check flood light monitor engine parameter crew asserted observed rising narrowing runway aircarft accelerated speed kmhr stated speed kmhr ahead flock eagle seen moment began get ground runway captain took control aircraft decided assessing situation within second best option crew discontinue takeoff moment crew heard bang suggested could bird strike followed aural visual indication annunciator panel left engine failure dangerous vibration takeoff prohibited captain immediately initiated rejected takeoff instructed flight engineer deploy thrust reversers rejected takeoff initiated second sighting bird speed kmh according captain decision necessitated consideration losing multiple engine due bird strike takeoff continued captain said pressed brake pedal completely immediately initiating rejected takeoff subsequently assessed braking action effective used emergency braking speed kmh realizing aircraft would stop within remaining available runway length coupled presence ravine end captain intentionally veered right order extend runway stopping distance also avoid ravine aircraft exited runway speed approximately kmh aircraft speed decayed kmh aircraft exited runway captain instructed flight engineer close fuel emergency shutoff cock aircraft travelled distance exit point plunging ravine process forward fuselage separated bulkhead located immediately cockpit section aircraft came rest location coordinate n e accident occurred daylight hr,82
august boeing er aircraft operated pt lion mentari airline lion air scheduled passenger flight sultan iskandar muda international airport banda aceh witt kualanamu international airport medan wimm flight number jt jt departed lt utc daylight condition person board meanwhile atr aircraft operated pt wing abadi airline wing air scheduled passenger flight medan intended destination cut nyak dien airport meulaboh witc flight number iw board iw two pilot one observer pilot two flight attendant passenger utc iw pilot requested taxi clearance runway medan ground controller instructed follow u taxi route iw pilot requested depart via intersection taxiway approved medan tower controller utc jt landing approach received landing clearance utc medan tower controller issued conditional clearance iw pilot enter runway jt landed conditional clearance combined air traffic control route clearance iw continued taxi entered runway utc jt touched runway second later impacted iw injury occurrence aircraft substantially damaged impact debris impact aircraft remained runway prior runway inspection one aircraft departed one aircraft landed,83
single engine airplane departed zurich airport runway lt bound hamburghelmut schmidt airport carrying one passenger one pilot passing city konstanz altitude foot ifr condition airplane entered uncontrolled descent eventually crashed konstanz lake metre mainau island wreckage found depth metre occupant killed,24
single engine aircraft departed yao airport lt leisure flight fukushima carrying one passenger one pilot minute later pilot reported unexpected situation atc cleared return yao altitude foot speed knot aircraft entered uncontrolled descent partially disintegrated air eventually crashed hilly wooded terrain near village yamazoe bursting flame occupant killed,10
crew completing local training flight comayaguapalmerola afb twin engine aircraft crashed unknown circumstance onto building captain killed copilot flight engineer injured aircraft destroyed crew cpt olvin emanuel florez meraz pilot lt cesar augusto banegas corea copilot cdt brayan daniel zavala amaya flight mechanic,40
commercial pilot stated takeoff roll airplane swerved right corrected left aborted takeoff however airplane departed left side runway collided embankment time accident quartering tailwind present pilot previous experience accident airplane make model multiengine airplane equipped engine capable producing horsepower postaccident conversation mechanic pilot stated airplane got away attempted takeoff postaccident examination airplane reveal evidence preimpact mechanical malfunction failure airplane flight control nosewheel steering system would precluded normal operation pilot previous experience operating make model airplane likely pilot lost directional control takeoff quartering tailwind,87
airplane departed maiquetasmon bolvar airport lt minute flight barcelona five minute takeoff cruising altitude foot aircraft went control plunged sea km naiguat state vargas appeared aircraft disintegrated impact debris found following morning floating water five occupant killed,16
single engine aircraft departed yeniseysk afternoon spraying mission forest area carrying two pilot minute flight completing third pas altitude metre smoke spread cockpit crew decided return yeniseysk minute later engine lost power fuel leaked engine spread windshield crew reduced altitude metre speed kmh preparing emergency landing flap aircraft collided tree crashed wooded area located km north yeniseysk pilot slightly injured aircraft damaged beyond repair,71
touchdown runway maban airport south sudan airplane unable stop within remaining distance overran lost undercarriage came rest bursting flame crew member evacuated safely aircraft totally destroyed post crash fire crew completing cargo flight behalf united nation high commissioner refugee unhcr,60
aircraft engaged demonstration flight taking part airshow chernoye aerodrome celebrating th anniversary antonov pilotincommand completed steep turn left join grassy runway airplane descended low impacted ground left wing crashed metre bursting flame aircraft totally destroyed occupant killed,25
crashed unknown circumstance near hato viejo state cojedes aircraft destroyed post crash fire pilot killed believed flight illegal airplane completing drug smuggling flight,39
crashed unknown circumstance playa linda passenger killed accident,42
approximately minute takeoff private airstrip cheshire pilot reported pitch control problem stated intention divert caernarfon airport approximately minute later aircraft struck runway caernarfon airport landing gear flap retracted high speed noticeable flare manoeuvre aircraft destroyed elevator trim found significantly nosedown position whilst reason could determined likely would caused pilot considerable difficulty maintaining control aircraft extensive fire damage wreckage limited recorded information made difficult determine cause accident high level confidence possible scenario trim runaway caa easa taking safety action promote awareness trim runaway result accident,81
shortly takeoff goma airport cargo flight bunia crew reported technical problem right engine cleared return emergency landing crew landed long half way runway touchdown airplane unable stop within remaining distance overran contacting lava ground right main gear nose gear collapsed airplane came rest right wing bent four crew member evacuated safely,60
en route toluca acapulco pilot encountered poor weather condition limited visibility twin engine airplane struck hilly wooded terrain sierra de chilpancingo near san vicente aircraft destroyed impact force post crash fire occupant killed,34
commercial pilot stated shortly taking crosscountry personal flight accelerating noticed high airplane nosedown control force airplane became increasingly difficult control used manual trim attempt trim control force verified autopilot engaged however nosedown tendency continued pilot trouble maintaining altitude subsequent emergency landing airframe sustained substantial damage postaccident examination airplane revealed elevator trim push rod assembly separated elevator trim tab actuator end elevator trim push rod assembly found wedged elevator main spar elevator trim indicator cockpit found noseup stop position however elevator trim tab deflected trailing edge upairplane nose maximum airplane nosedown setting drilled bolt recovered inside right elevator however associated washer castellated nut cotter pin found examination bolt revealed thread damaged bolt hole one clevis yoke half exhibited deformation consistent bolt separating week accident pilot flew airplane maintenance facility annual inspection time airworthiness directive ad required installation new hardware end pushrod elevator trim tab overdue airplane annual inspection ad superseded ad also required installation new hardware ad issued prevent jamming elevator trim tab position outside normal limit travel due loss attachment hardware connecting elevator trim tab actuator elevator trim tab pushpull rod could result loss airplane control annual inspection airplane stripped painted would required removal right elevator although repair station personnel indicated disconnect elevator trim pushrod elevator trim tab actuator painted airplane photograph taken airplane undergoing inspection painting revealed pushrod likely disconnected repair station owner reported reinstalled right elevator elevator trim pushrod airplane painted however replace hardware either end pushrod required ad subsequently airplane approved return service annual inspection work repair adjustment made elevator trim system airplane accrued hour since annual inspection time accident although reusing selflocking nut might resulted coming cotter pin prevented happening therefore although castellated selflocking nut washer cotter pin normally used secure elevator trim pushrod elevator trim tab actuator found given evidence likely hardware required hardware properly secured installation allowed separate flight also likely pushrod assembly moved aft jammed position well past maximum nosedown trim setting rendered controlled flight impossible,87
aircraft departed atatrk airport istanbul lt bound ercan crew three one passenger board shortly takeoff unexpected situation forced crew return emergency landing touchdown runway l twin engine aircraft went control veered runway struck concrete drainage ditch came rest broken two bursting flame four occupant evacuated safely aircraft destroyed post crash fire,53
